geo_altitude,baro_altitude,altitude_diff
12550.14,11582.4,967.7399999999998
11932.92,10972.8,960.1200000000008
3093.72,2133.6,960.1199999999999
3093.72,2133.6,960.1199999999999
21046.44,20086.32,960.119999999999
19644.36,18684.24,960.119999999999
6736.08,5783.58,952.5
10401.3,9456.42,944.8799999999992
14043.66,13106.4,937.2600000000002
12504.42,11582.4,922.0200000000004
13114.02,12192.0,922.0200000000004
12801.6,11887.2,914.3999999999996
13106.4,12192.0,914.3999999999996
12801.6,11887.2,914.3999999999996
13098.78,12192.0,906.7800000000007
13075.92,12192.0,883.9200000000001
9601.2,8717.28,883.9200000000001
11849.1,10972.8,876.3000000000011
12458.7,11582.4,876.3000000000011
12146.28,11277.6,868.6800000000003
12451.08,11582.4,868.6800000000003
12451.08,11582.4,868.6800000000003
12458.7,11590.02,868.6800000000003
12138.66,11277.6,861.0599999999995
12748.26,11887.2,861.0599999999995
11833.86,10980.42,853.4400000000005
11826.24,10972.8,853.4400000000005
12131.04,11277.6,853.4400000000005
3611.88,2758.44,853.44
13952.22,13098.78,853.4399999999987
12428.22,11574.78,853.4399999999987
13030.2,12184.38,845.8200000000015
11506.2,10660.38,845.8200000000015
12428.22,11582.4,845.8199999999997
12123.42,11277.6,845.8199999999997
11811.0,10965.18,845.8199999999997
11811.0,10972.8,838.2000000000007
11811.0,10972.8,838.2000000000007
12420.6,11582.4,838.2000000000007
4457.7,3619.5,838.1999999999998
12725.4,11887.2,838.1999999999989
12725.4,11887.2,838.1999999999989
13022.58,12192.0,830.5799999999999
12108.18,11277.6,830.5799999999999
12717.78,11887.2,830.5799999999999
11803.38,10972.8,830.5799999999999
13014.96,12184.38,830.5799999999999
11498.58,10668.0,830.5799999999999
11795.76,10972.8,822.960000000001
11483.34,10660.38,822.960000000001
13929.36,13106.4,822.960000000001
13319.76,12496.8,822.960000000001
12245.34,11422.38,822.960000000001
11795.76,10972.8,822.960000000001
12100.56,11277.6,822.9599999999991
12710.16,11887.2,822.9599999999991
12740.64,11917.68,822.9599999999991
13014.96,12192.0,822.9599999999991
13014.96,12192.0,822.9599999999991
11788.14,10972.8,815.3400000000001
12161.52,11346.18,815.3400000000001
12092.94,11277.6,815.3400000000001
11780.52,10972.8,807.7200000000012
12092.94,11285.22,807.7200000000012
12390.12,11582.4,807.7200000000012
12390.12,11582.4,807.7200000000012
12992.1,12184.38,807.7200000000012
2217.42,1409.7,807.72
11772.9,10965.18,807.7199999999993
12694.92,11887.2,807.7199999999993
13296.9,12489.18,807.7199999999993
12999.72,12192.0,807.7199999999993
12679.68,11879.58,800.1000000000004
11765.28,10965.18,800.1000000000004
11468.1,10668.0,800.1000000000004
13906.5,13106.4,800.1000000000004
12382.5,11582.4,800.1000000000004
11772.9,10972.8,800.1000000000004
12031.98,11231.88,800.1000000000004
12992.1,12192.0,800.1000000000004
11163.3,10363.2,800.0999999999985
11163.3,10363.2,800.0999999999985
11765.28,10972.8,792.4800000000014
12984.48,12192.0,792.4799999999996
10850.88,10058.4,792.4799999999996
11460.48,10668.0,792.4799999999996
12679.68,11887.2,792.4799999999996
12679.68,11887.2,792.4799999999996
12984.48,12192.0,792.4799999999996
12984.48,12192.0,792.4799999999996
11468.1,10675.62,792.4799999999996
12374.88,11582.4,792.4799999999996
11155.68,10363.2,792.4799999999996
11155.68,10363.2,792.4799999999996
12984.48,12192.0,792.4799999999996
12070.08,11277.6,792.4799999999996
11460.48,10668.0,792.4799999999996
12070.08,11277.6,792.4799999999996
12382.5,11590.02,792.4799999999996
12809.22,12016.74,792.4799999999996
12976.86,12192.0,784.8600000000006
16329.66,15544.8,784.8600000000006
12367.26,11582.4,784.8600000000006
12664.44,11879.58,784.8600000000006
13274.04,12489.18,784.8600000000006
12367.26,11582.4,784.8600000000006
11452.86,10668.0,784.8600000000006
12359.64,11574.78,784.8599999999988
12359.64,11574.78,784.8599999999988
12672.06,11887.2,784.8599999999988
10835.64,10050.78,784.8599999999988
12062.46,11277.6,784.8599999999988
12359.64,11574.78,784.8599999999988
12359.64,11574.78,784.8599999999988
12062.46,11277.6,784.8599999999988
11148.06,10363.2,784.8599999999988
11750.04,10972.8,777.2400000000016
11750.04,10972.8,777.2400000000016
13274.04,12496.8,777.2400000000016
11750.04,10972.8,777.2400000000016
12054.84,11277.6,777.2399999999998
11445.24,10668.0,777.2399999999998
11582.4,10805.16,777.2399999999998
12969.24,12192.0,777.2399999999998
12359.64,11582.4,777.2399999999998
11445.24,10668.0,777.2399999999998
12054.84,11277.6,777.2399999999998
12359.64,11582.4,777.2399999999998
12054.84,11277.6,777.2399999999998
12405.36,11628.12,777.2399999999998
12664.44,11887.2,777.2399999999998
12969.24,12192.0,777.2399999999998
12672.06,11894.82,777.2399999999998
11125.2,10355.58,769.6200000000008
12001.5,11231.88,769.6200000000008
12382.5,11612.88,769.6200000000008
12961.62,12192.0,769.6200000000008
13266.42,12496.8,769.6200000000008
12649.2,11879.58,769.6200000000008
12352.02,11582.4,769.6200000000008
11750.04,10980.42,769.6200000000008
12961.62,12192.0,769.6200000000008
12352.02,11582.4,769.6200000000008
10843.26,10073.64,769.6200000000008
11734.8,10965.18,769.619999999999
12656.82,11887.2,769.619999999999
12344.4,11574.78,769.619999999999
12047.22,11277.6,769.619999999999
12047.22,11277.6,769.619999999999
12656.82,11887.2,769.619999999999
11430.0,10668.0,762.0
11734.8,10972.8,762.0
12954.0,12192.0,762.0
11734.8,10972.8,762.0
12649.2,11887.2,762.0
12344.4,11582.4,762.0
11750.04,10988.04,762.0
12344.4,11582.4,762.0
12649.2,11887.2,762.0
12352.02,11590.02,762.0
12954.0,12192.0,762.0
10957.56,10195.56,762.0
11750.04,10988.04,762.0
11734.8,10972.8,762.0
12954.0,12192.0,762.0
11765.28,11003.28,762.0
11437.62,10675.62,762.0
11430.0,10668.0,762.0
11422.38,10660.38,762.0
12039.6,11277.6,762.0
11132.82,10370.82,762.0
12024.36,11269.98,754.380000000001
11727.18,10972.8,754.380000000001
11727.18,10972.8,754.380000000001
11727.18,10972.8,754.380000000001
10812.78,10058.4,754.380000000001
12336.78,11582.4,754.380000000001
11727.18,10972.8,754.380000000001
11727.18,10972.8,754.380000000001
13251.18,12496.8,754.380000000001
12336.78,11582.4,754.380000000001
12336.78,11582.4,754.380000000001
13251.18,12496.8,754.380000000001
12321.54,11567.16,754.380000000001
12336.78,11582.4,754.380000000001
12946.38,12192.0,754.3799999999992
12946.38,12192.0,754.3799999999992
12641.58,11887.2,754.3799999999992
11323.32,10568.94,754.3799999999992
12031.98,11277.6,754.3799999999992
11391.9,10637.52,754.3799999999992
12329.16,11574.78,754.3799999999992
12641.58,11887.2,754.3799999999992
11734.8,10980.42,754.3799999999992
11422.38,10668.0,754.3799999999992
11757.66,11003.28,754.3799999999992
12329.16,11574.78,754.3799999999992
11757.66,11003.28,754.3799999999992
11925.3,11170.92,754.3799999999992
10546.08,9791.7,754.3799999999992
11719.56,10965.18,754.3799999999992
12633.96,11879.58,754.3799999999992
12641.58,11887.2,754.3799999999992
12329.16,11582.4,746.7600000000002
12016.74,11269.98,746.7600000000002
11445.24,10698.48,746.7600000000002
11719.56,10972.8,746.7600000000002
12329.16,11582.4,746.7600000000002
11399.52,10652.76,746.7600000000002
12329.16,11582.4,746.7600000000002
12024.36,11277.6,746.7600000000002
13853.16,13106.4,746.7600000000002
11079.48,10332.72,746.7600000000002
11727.18,10980.42,746.7600000000002
12329.16,11582.4,746.7600000000002
11407.14,10660.38,746.7600000000002
10500.36,9753.6,746.7600000000002
12024.36,11277.6,746.7600000000002
12016.74,11269.98,746.7600000000002
12024.36,11277.6,746.7600000000002
11109.96,10363.2,746.7599999999984
11681.46,10934.7,746.7599999999984
10797.54,10058.4,739.1400000000012
11711.94,10972.8,739.1400000000012
10637.52,9898.38,739.1400000000012
12009.12,11269.98,739.1400000000012
11262.36,10523.22,739.1400000000012
11437.62,10698.48,739.1400000000012
