callsign,velocity,baro_altitude,geo_altitude
TAY400  ,229.81,9745.98,10287.0
SVA144  ,229.75,6629.4,6911.34
BCS961  ,229.74,10972.8,11772.9
SJV854  ,229.72,8892.54,9486.9
AAL807  ,229.72,10972.8,11643.36
CSZ9368 ,229.72,9784.08,10454.64
TAP1126 ,229.72,10668.0,11399.52
ITY107  ,229.71,11269.98,11742.42
JIA5169 ,229.69,9448.8,10066.02
THY2FW  ,229.68,10050.78,10462.26
DLH5YP  ,229.65,9761.22,10180.32
KAC177  ,229.63,10972.8,11376.66
SWA1438 ,229.6,12192.0,12915.9
RYR26MX ,229.59,11582.4,12031.98
VLG3XB  ,229.59,10675.62,11300.46
TNU154  ,229.59,10302.24,10957.56
EWG5YH  ,229.58,11879.58,12382.5
THY2YL  ,229.57,10972.8,11430.0
RYR81CZ ,229.55,11277.6,11719.56
WZZ1806 ,229.55,11582.4,11963.4
VOE2NK  ,229.53,11064.24,11582.4
FDX1545 ,229.51,10370.82,11026.14
EZY98HU ,229.51,7551.42,7840.98
SVA035  ,229.5,9753.6,10187.94
THY7LH  ,229.48,6096.0,6393.18
WUP449  ,229.48,11277.6,11940.54
SWR336L ,229.46,6454.14,6804.66
EZY78ET ,229.45,11285.22,11765.28
NSZ61RT ,229.45,11582.4,12024.36
UAL1450 ,229.45,12192.0,12900.66
RYL257  ,229.45,10066.02,10751.82
CHH7929 ,229.44,10363.2,11056.62
ITY121  ,229.44,11277.6,11742.42
THY30D  ,229.43,11033.76,11490.96
DAL2898 ,229.4,7719.06,8122.92
JIA5101 ,229.39,7589.52,7985.76
UPS62   ,229.38,12192.0,12664.44
CCA418  ,229.36,8534.4,9113.52
IGO859  ,229.32,11277.6,11955.78
THY39U  ,229.31,10972.8,11414.76
LOT4CA  ,229.3,8328.66,8656.32
TVF4661 ,229.3,10972.8,11574.78
SWA168  ,229.29,10949.94,11605.26
ADO115  ,229.29,10058.4,10683.24
ANA799  ,229.28,12192.0,12984.48
TRA10E  ,229.27,11582.4,12031.98
WZZ8AX  ,229.26,11582.4,12047.22
PGT54VT ,229.25,10149.84,10584.18
EZY26XM ,229.25,11567.16,11894.82
CAL127  ,229.23,10591.8,11315.7
EWG1WK  ,229.23,11269.98,11750.04
BAW6CA  ,229.19,11894.82,12633.96
AAL325  ,229.18,9753.6,10187.94
SXS7LP  ,229.17,11597.64,11925.3
CHH7926 ,229.17,7315.2,7764.78
CSN3424 ,229.16,10706.1,11430.0
FDB3PL  ,229.16,10972.8,11544.3
EZY82EY ,229.15,11590.02,12108.18
RZO506  ,229.13,6865.62,7246.62
QTR25Q  ,229.12,11582.4,12192.0
SWA1508 ,229.12,11582.4,12252.96
THY2AY  ,229.12,11277.6,11597.64
EDV5244 ,229.11,7825.74,8275.32
CAL916  ,229.09,7566.66,8054.34
TOM2CY  ,229.06,4084.32,4419.6
