icao24,callsign,velocity,baro_altitude,geo_altitude,vertical_rate
406016,EZY76VG ,185.62,5410.2,5783.58,7.8
acf486,AAL1640 ,148.27,1889.76,1958.34,7.8
ac249e,SWA3834 ,207.53,6233.16,6591.3,7.8
40796b,TOM55L  ,228.53,6758.94,7147.56,7.8
a35b27,AAL1340 ,216.82,6911.34,7315.2,7.8
484f18,KLM1920 ,237.94,10058.4,10500.36,7.8
aac136,UAL160  ,130.05,1767.84,1882.14,7.8
46b823,AEE625  ,236.09,9867.9,10294.62,7.8
ad0e61,AAL2887 ,239.37,8328.66,8823.96,7.8
71c705,AAR117  ,235.02,9784.08,10477.5,7.8
abfefd,AAL444  ,223.12,8983.98,9517.38,7.8
a4d7e4,AAL3004 ,218.53,5722.62,6050.28,7.8
49d2b1,OKEBC   ,38.89,762.0,838.2,7.8
abc1bc,DAL3240 ,233.48,6918.96,7322.82,7.8
3c4dce,DLH4LC  ,234.22,9387.84,9814.56,7.8
345543,ANE61HB ,254.54,8991.6,9425.94,7.8
a95881,CKS533  ,182.23,4724.4,4975.86,7.8
4b1a00,SAZ54   ,216.31,8923.02,9334.5,7.8
89665e,WAZ57KH ,190.06,5699.76,6004.56,7.8
738be8,BOOSTER ,50.88,1211.58,1242.06,7.8
341646,IBE06LT ,228.74,6743.7,7078.98,7.8
4d202d,SWU1953 ,140.79,4655.82,4892.04,7.8
7c7777,QLK1884 ,168.79,5501.64,5699.76,7.8
345388,ANE76BG ,205.73,6957.06,7299.96,7.48
4baa87,THY7VL  ,149.71,3116.58,3261.36,7.48
010204,MSR751  ,228.51,6431.28,6888.48,7.48
a8ec57,UAL959  ,248.28,9075.42,9441.18,7.48
4ca87d,ITY618  ,191.04,5196.84,5486.4,7.48
45d962,VKG1015 ,207.63,8115.3,8549.64,7.48
a31486,EDV4913 ,138.23,2194.56,2286.0,7.48
a6d645,N54HC   ,124.5,6606.54,7018.02,7.48
a417c9,DAL401  ,235.62,8001.0,8496.3,7.48
4bb0f3,THY2PE  ,211.49,5692.14,5989.32,7.48
851c20,JAL286L ,220.23,7490.46,7993.38,7.48
46dca2,SEH4WA  ,238.85,10980.42,11490.96,7.48
86dca2,JAL18   ,220.62,5760.72,6149.34,7.48
345615,ANE81UX ,122.86,1524.0,1653.54,7.48
adb35c,JBU411  ,197.47,4792.98,5029.2,7.48
e4a125,TAM3254 ,236.18,8054.34,8481.06,7.48
394c19,AFR1889 ,237.53,7833.36,8115.3,7.48
440128,EJU41DC ,209.73,10187.94,10538.46,7.48
501d20,CTN413  ,225.65,10919.46,11338.56,7.48
51002b,BRU2003 ,91.81,937.26,982.98,7.48
502d0d,AUA784  ,211.27,8526.78,8823.96,7.48
89409c,GFA506  ,86.19,411.48,289.56,7.48
a1e946,RPA5842 ,181.11,6347.46,6659.88,7.48
461f6d,FIN48V  ,232.59,8526.78,8846.82,7.48
452122,LZB456  ,218.26,6926.58,7284.72,7.48
505dff,EXS3UH  ,202.7,8999.22,9227.82,7.48
888127,VJC1459 ,235.01,8549.64,9113.52,7.48
780809,CSC6796 ,199.24,6477.0,6065.52,7.48
ab0a73,RPA5839 ,186.26,5600.7,5935.98,7.48
4caeff,ITY226  ,197.43,8069.58,8488.68,7.48
4cac89,RYR89PP ,222.32,6720.84,7078.98,7.48
40803e,TOM2CY  ,229.06,4084.32,4419.6,7.48
503d6f,AHY074  ,194.22,4465.32,4701.54,7.48
502d7b,SWR139K ,208.35,6736.08,7078.98,7.48
47c0fd,NSZ3225 ,230.26,9090.66,9273.54,7.48
a39e0c,ENY3951 ,217.79,7002.78,7429.5,7.48
a37c1c,JBU109  ,227.15,8625.84,9090.66,7.48
4ba9ab,THY6RD  ,179.81,4815.84,5029.2,7.48
76b864,TGW124  ,225.56,6758.94,7170.42,7.48
4d2235,RYR3369 ,229.03,8717.28,9090.66,7.15
e49a8b,Unknown,225.1,7901.94,8298.18,7.15
3c66aa,DLH827  ,236.58,9098.28,9479.28,7.15
8966a3,ABY221  ,153.13,2476.5,2537.46,7.15
4ca8fb,NOS787  ,219.0,6019.8,6362.7,7.15
39ceac,TVF46UH ,201.29,10111.74,10507.98,7.15
4077e0,BAW507  ,215.19,6096.0,6507.48,7.15
4ca4ec,RYR7495 ,223.52,8808.72,9136.38,7.15
45c86a,FLI417  ,232.81,9022.08,9387.84,7.15
502d9c,UAG26K  ,192.64,6995.16,7437.12,7.15
4006c0,BAW185  ,231.65,8328.66,8663.94,7.15
a515ad,AAL2315 ,223.5,7299.96,7680.96,7.15
801745,IGO5RM  ,198.58,7162.8,7581.9,7.15
407f7d,EXS71TE ,241.23,10507.98,10995.66,7.15
a44cca,DAL1221 ,237.52,7574.28,8008.62,7.15
392af9,AFR59DX ,193.2,6065.52,6377.94,7.15
